"filename", "language", "JSON", "TypeScript", "SCSS", "Markdown", "JavaScript", "HTML", "CSS", "XML", "YAML", "comment", "blank", "total"
"d:\370\FinalFrontend\final\src\app\insurnace-provider\insuranceService.service.ts", "TypeScript", 0, 52, 0, 0, 0, 0, 0, 0, 0, 0, 9, 61
"d:\370\FinalFrontend\final\src\app\insurnace-provider\insurnace-provider.component.html", "HTML", 0, 0, 0, 0, 0, 135, 0, 0, 0, 1, 14, 150
"d:\370\FinalFrontend\final\src\app\insurnace-provider\insurnace-provider.component.scss", "SCSS", 0, 0, 26, 0, 0, 0, 0, 0, 0, 0, 5, 31
"d:\370\FinalFrontend\final\src\app\insurnace-provider\insurnace-provider.component.ts", "TypeScript", 0, 139, 0, 0, 0, 0, 0, 0, 0, 7, 17, 163
"d:\370\FinalFrontend\final\src\app\logout\logout.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\370\FinalFrontend\final\src\app\logout\logout.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\logout\logout.component.ts", "TypeScript", 0, 14, 0, 0, 0, 0, 0, 0, 0, 1, 5, 20
"d:\370\FinalFrontend\final\src\app\maintenance-log\maintenance-log.component.html", "HTML", 0, 0, 0, 0, 0, 286, 0, 0, 0, 0, 43, 329
"d:\370\FinalFrontend\final\src\app\maintenance-log\maintenance-log.component.scss", "SCSS", 0, 0, 17, 0, 0, 0, 0, 0, 0, 0, 3, 20
"d:\370\FinalFrontend\final\src\app\maintenance-log\maintenance-log.component.ts", "TypeScript", 0, 155, 0, 0, 0, 0, 0, 0, 0, 11, 27, 193
"d:\370\FinalFrontend\final\src\app\maintenance-log\maintenance-service.service.ts", "TypeScript", 0, 51, 0, 0, 0, 0, 0, 0, 0, 16, 19, 86
"d:\370\FinalFrontend\final\src\app\maintenance-report\maintenance-report.component.html", "HTML", 0, 0, 0, 0, 0, 1, 0, 0, 0, 0, 1, 2
"d:\370\FinalFrontend\final\src\app\maintenance-report\maintenance-report.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\maintenance-report\maintenance-report.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\370\FinalFrontend\final\src\app\new-password\new-password.component.html", "HTML", 0, 0, 0, 0, 0, 35, 0, 0, 0, 0, 5, 40
"d:\370\FinalFrontend\final\src\app\new-password\new-password.component.scss", "SCSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\new-password\new-password.component.ts", "TypeScript", 0, 13, 0, 0, 0, 0, 0, 0, 0, 0, 6, 19
"d:\370\FinalFrontend\final\src\app\pages\blank\blank.component.css", "CSS", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\pages\blank\blank.component.html", "HTML", 0, 0, 0, 0, 0, 0, 0, 0, 0, 0, 1, 1
"d:\370\FinalFrontend\final\src\app\pages\blank\blank.component.ts", "TypeScript", 0, 11, 0, 0, 0, 0, 0, 0, 0, 0, 5, 16
"d:\370\FinalFrontend\final\src\app\pages\charts\bar\bar.component.html", "HTML", 0, 0, 0, 0, 0, 178, 0, 0, 0, 0, 0, 178
"d:\370\FinalFrontend\final\src\app\pages\charts\bar\bar.component.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 4, 35
"d:\370\FinalFrontend\final\src\app\pages\charts\bubble\bubble.component.html", "HTML", 0, 0, 0, 0, 0, 30, 0, 0, 0, 0, 0, 30
"d:\370\FinalFrontend\final\src\app\pages\charts\bubble\bubble.component.ts", "TypeScript", 0, 37, 0, 0, 0, 0, 0, 0, 0, 0, 5, 42
"d:\370\FinalFrontend\final\src\app\pages\charts\charts.data.ts", "TypeScript", 0, 230, 0, 0, 0, 0, 0, 0, 0, 0, 2, 232
"d:\370\FinalFrontend\final\src\app\pages\charts\charts.module.ts", "TypeScript", 0, 31, 0, 0, 0, 0, 0, 0, 0, 0, 2, 33
"d:\370\FinalFrontend\final\src\app\pages\charts\line\line.component.html", "HTML", 0, 0, 0, 0, 0, 92, 0, 0, 0, 0, 0, 92
"d:\370\FinalFrontend\final\src\app\pages\charts\line\line.component.ts", "TypeScript", 0, 32, 0, 0, 0, 0, 0, 0, 0, 0, 3, 35
"d:\370\FinalFrontend\final\src\app\pages\charts\pie\pie.component.html", "HTML", 0, 0, 0, 0, 0, 50, 0, 0, 0, 0, 0, 50
"d:\370\FinalFrontend\final\src\app\pages\charts\pie\pie.component.ts", "TypeScript", 0, 28, 0, 0, 0, 0, 0, 0, 0, 0, 4, 32
"d:\370\FinalFrontend\final\src\app\pages\chat\chat.component.html", "HTML", 0, 0, 0, 0, 0, 118, 0, 0, 0, 0, 3, 121
"d:\370\FinalFrontend\final\src\app\pages\chat\chat.component.scss", "SCSS", 0, 0, 61, 0, 0, 0, 0, 0, 0, 0, 2, 63
"d:\370\FinalFrontend\final\src\app\pages\chat\chat.component.ts", "TypeScript", 0, 81, 0, 0, 0, 0, 0, 0, 0, 0, 10, 91
"d:\370\FinalFrontend\final\src\app\pages\chat\chat.model.ts", "TypeScript", 0, 8, 0, 0, 0, 0, 0, 0, 0, 0, 0, 8
